Timestamp,Soil_Moisture,Solar_Radiation,Air_Temperature,Relative_Humidity,VPD,Stress
2026-01-01 06:00:00,75.19,0,26.55,76.35,0.82,Low
2026-01-01 06:05:00,75.15,0,27.96,71.23,1.09,Low
2026-01-01 06:10:00,75.11,4394,26.79,71.55,1.0,Low
2026-01-01 06:15:00,75.06,6809,27.82,70.33,1.11,Low
2026-01-01 06:20:00,74.99,5754,28.32,72.71,1.05,Low
2026-01-01 06:25:00,74.94,8819,27.55,75.37,0.91,Low
2026-01-01 06:30:00,74.88,10632,27.23,75.46,0.89,Low
2026-01-01 06:35:00,74.8,16590,28.83,69.91,1.19,Low
2026-01-01 06:40:00,74.74,17677,28.15,73.24,1.02,Low
2026-01-01 06:45:00,74.71,19973,29.28,69.87,1.23,Low
2026-01-01 06:50:00,74.67,20380,28.19,68.65,1.2,Low
2026-01-01 06:55:00,74.62,22436,28.1,72.18,1.06,Low
2026-01-01 07:00:00,74.54,24138,28.81,68.34,1.25,Low
2026-01-01 07:05:00,74.48,28637,29.53,66.1,1.4,Low
2026-01-01 07:10:00,74.42,29347,28.73,72.85,1.07,Low
2026-01-01 07:15:00,74.35,33251,29.69,69.78,1.26,Low
2026-01-01 07:20:00,74.3,31394,29.19,67.75,1.31,Low
2026-01-01 07:25:00,74.26,38901,29.32,70.82,1.19,Low
2026-01-01 07:30:00,74.21,37642,30.37,68.63,1.36,Low
2026-01-01 07:35:00,74.16,38754,29.75,67.94,1.34,Low
2026-01-01 07:40:00,74.11,44648,30.55,65.13,1.53,Low
2026-01-01 07:45:00,74.07,44286,31.53,61.02,1.81,Medium
2026-01-01 07:50:00,74.0,46939,29.91,68.95,1.31,Low
2026-01-01 07:55:00,73.93,47388,29.97,70.03,1.27,Low
2026-01-01 08:00:00,73.84,52164,31.94,59.6,1.91,Medium
2026-01-01 08:05:00,73.76,52099,31.51,62.12,1.75,Medium
2026-01-01 08:10:00,73.66,53338,30.52,65.52,1.51,Low
2026-01-01 08:15:00,73.58,54137,32.2,61.95,1.83,Medium
2026-01-01 08:20:00,73.46,59580,32.41,60.24,1.94,Medium
2026-01-01 08:25:00,73.39,57048,31.95,64.09,1.7,Medium
2026-01-01 08:30:00,73.3,61058,32.43,58.42,2.03,Medium
2026-01-01 08:35:00,73.21,65166,31.05,66.87,1.49,Low
2026-01-01 08:40:00,73.11,61626,31.76,65.23,1.63,Medium
2026-01-01 08:45:00,73.02,65850,31.45,61.09,1.79,Medium
2026-01-01 08:50:00,72.9,65329,32.94,60.1,2.0,Medium
2026-01-01 08:55:00,72.74,71385,32.06,61.8,1.82,Medium
2026-01-01 09:00:00,72.56,72090,32.74,58.92,2.04,Medium
2026-01-01 09:05:00,72.33,73135,33.77,57.96,2.21,Medium
2026-01-01 09:10:00,72.09,72075,32.14,61.11,1.86,Medium
2026-01-01 09:15:00,71.84,73505,32.47,58.73,2.02,Medium
2026-01-01 09:20:00,71.7,79036,32.59,63.21,1.81,Medium
2026-01-01 09:25:00,71.56,79002,32.72,59.04,2.03,Medium
2026-01-01 09:30:00,71.27,79761,34.22,57.13,2.31,Medium
2026-01-01 09:35:00,71.07,78786,34.07,55.23,2.39,Medium
2026-01-01 09:40:00,70.81,81717,33.4,60.55,2.03,Medium
2026-01-01 09:45:00,70.62,80737,34.62,55.79,2.43,Medium
2026-01-01 09:50:00,70.41,82831,34.47,54.86,2.46,Medium
2026-01-01 09:55:00,70.1,84162,33.68,57.03,2.25,Medium
2026-01-01 10:00:00,69.97,88770,33.81,58.53,2.18,High
2026-01-01 10:05:00,69.66,89688,35.01,58.29,2.35,High
2026-01-01 10:10:00,69.49,86698,34.79,55.89,2.45,High
2026-01-01 10:15:00,69.17,87039,33.98,57.13,2.28,High
2026-01-01 10:20:00,68.96,92335,33.78,58.03,2.21,High
2026-01-01 10:25:00,68.7,94503,35.24,55.29,2.55,High
2026-01-01 10:30:00,68.46,91168,33.7,61.3,2.02,High
2026-01-01 10:35:00,68.22,94688,34.54,53.9,2.53,High
2026-01-01 10:40:00,67.9,96085,34.52,54.54,2.49,High
2026-01-01 10:45:00,67.64,92807,33.74,58.98,2.15,High
2026-01-01 10:50:00,67.47,93091,34.1,59.91,2.14,High
2026-01-01 10:55:00,67.23,96721,34.87,55.32,2.49,High
2026-01-01 11:00:00,66.97,99200,34.77,54.25,2.54,High
2026-01-01 11:05:00,66.78,96508,34.25,58.26,2.25,High
2026-01-01 11:10:00,66.57,99140,34.44,54.22,2.5,High
2026-01-01 11:15:00,66.4,100000,35.84,51.0,2.89,High
2026-01-01 11:20:00,66.11,100000,34.41,59.14,2.22,High
2026-01-01 11:25:00,65.84,96782,34.65,58.32,2.3,High
